Lines,Lon,VehicleNumber,Time,Lat,Brigade
213,21.223228,1000,2024-02-20 19:34:16,52.160161,3
213,21.1024588,1001,2024-02-20 19:34:32,52.2227365,1
213,21.147429,1004,2024-02-20 19:34:23,52.21414,5
213,21.2132353,1006,2024-02-20 19:34:35,52.1612943,4
219,21.1692443,1007,2024-02-20 19:34:34,52.197753,2
L-8,21.0336408,10071,2024-02-20 19:34:35,52.3937601,1
L31,21.1484706,10072,2024-02-20 19:34:36,52.4351548,1
L49,20.9011958,10073,2024-02-20 19:34:37,52.3902113,1
L24,21.0293005,10074,2024-02-20 19:34:37,52.0738256,696
L-8,21.1525896,10075,2024-02-20 19:34:37,52.3805679,02
219,21.1689336,1008,2024-02-20 19:34:39,52.1988563,1
219,21.1022968,1010,2024-02-20 19:34:38,52.2228481,3
213,21.1058788,1013,2024-02-20 19:34:34,52.2121061,2
239,21.015051,1020,2024-02-20 19:34:28,52.14563,777
192,21.054378,1022,2024-02-20 19:34:31,52.146745,1
208,20.974003,1024,2024-02-20 19:34:33,52.202404,05
107,21.015755,1025,2024-02-20 19:34:36,52.230827,1
239,21.005577,1026,2024-02-20 19:34:36,52.171528,776
339,20.9957097,1027,2024-02-20 19:34:37,52.1870414,03
339,20.995865,1028,2024-02-20 19:34:14,52.188534,02
192,21.04582,1030,2024-02-20 19:34:36,52.149616,5
263,21.108994,1031,2024-02-20 19:34:37,52.164619,06
108,21.036961,1032,2024-02-20 19:34:37,52.218906,5
263,21.033812,1033,2024-02-20 19:34:33,52.148541,4
108,21.024074,1035,2024-02-20 19:34:36,52.179699,1
192,20.9957991,1037,2024-02-20 19:34:37,52.1875122,2
164,20.9956854,1038,2024-02-20 19:34:36,52.1877002,04
208,20.963987,1039,2024-02-20 19:34:32,52.208164,04
107,21.045888,1040,2024-02-20 19:34:36,52.218598,2
107,21.0851267,1043,2024-02-20 19:34:32,52.19333,4
107,21.058381,1044,2024-02-20 19:34:32,52.192991,5
107,20.97933,1045,2024-02-20 19:34:33,52.2444867,8
204,21.0310348,1048,2024-02-20 19:34:34,52.2935063,05
207,20.8947733,1050,2024-02-20 19:34:35,52.1999867,1
228,20.963141,1051,2024-02-20 19:34:28,52.197101,1
228,20.9280183,1052,2024-02-20 19:34:30,52.2031,3
228,20.893116,1054,2024-02-20 19:34:22,52.200369,2
208,20.96101,1055,2024-02-20 19:34:36,52.215911,2
208,20.9720533,1057,2024-02-20 19:34:26,52.2116783,591
207,20.885535,1059,2024-02-20 19:34:36,52.1833583,3
108,21.050423,1060,2024-02-20 19:34:34,52.178307,2
107,21.048022,1062,2024-02-20 19:34:37,52.2081257,6
108,21.0745967,1063,2024-02-20 19:34:36,52.2035289,3
108,21.070757,1065,2024-02-20 19:34:35,52.180309,399
108,21.023371,1066,2024-02-20 19:34:37,52.228386,4
192,21.0209882,1068,2024-02-20 19:34:35,52.1756729,3
208,20.9645905,1069,2024-02-20 19:34:37,52.2017196,06
163,20.996214,1070,2024-02-20 19:34:37,52.188065,02
107,21.011356,1071,2024-02-20 19:34:37,52.229858,7
107,21.046257,1072,2024-02-20 19:34:29,52.199951,3
107,20.9791471,1073,2024-02-20 19:34:36,52.2444686,9
339,21.005884,1074,2024-02-20 19:34:34,52.171497,01
200,21.009203,1075,2024-02-20 19:34:32,52.205643,2
192,21.037991,1076,2024-02-20 19:34:36,52.144924,4
164,21.114916,1077,2024-02-20 19:34:36,52.161938,05
163,20.997952,1079,2024-02-20 19:34:36,52.186085,01
170,21.093893,1101,2024-02-20 19:34:31,52.2709255,06
170,21.0537516,1102,2024-02-20 19:34:31,52.260664,2
169,21.03257,1106,2024-02-20 19:34:31,52.2934471,5
117,21.102296,1109,2024-02-20 19:34:34,52.2222093,06
169,21.041848,1110,2024-02-20 19:34:34,52.3001083,4
106,21.0483846,1118,2024-02-20 19:34:35,52.2633445,09
118,21.01529,1119,2024-02-20 19:34:36,52.220796,2
L27,21.1802051,11201,2024-02-20 19:34:31,52.4221425,1
L27,21.1813143,11202,2024-02-20 19:33:00,52.421212,2
263,21.07057,1200,2024-02-20 19:34:36,52.154449,5
251,21.023924,1201,2024-02-20 19:34:34,52.179588,63
106,21.019569,1202,2024-02-20 19:34:36,52.246178,3
106,20.965023,1203,2024-02-20 19:34:36,52.247681,5
106,20.99313,1204,2024-02-20 19:34:37,52.235229,4
263,21.056629,1205,2024-02-20 19:34:34,52.182339,3
166,21.027058,1206,2024-02-20 19:34:32,52.26001,6
263,21.047873,1207,2024-02-20 19:34:35,52.151093,1
218,21.023741,1208,2024-02-20 19:34:35,52.179928,2
218,21.0247162,1209,2024-02-20 19:34:37,52.1908927,4
118,21.0322839,1211,2024-02-20 19:34:37,52.2301857,4
251,21.122725,1212,2024-02-20 19:34:36,52.090744,62
168,20.995758,1213,2024-02-20 19:34:33,52.192932,4
166,21.030262,1214,2024-02-20 19:34:36,52.158802,011
168,21.112555,1216,2024-02-20 19:34:33,52.236213,7
168,21.026457,1217,2024-02-20 19:34:36,52.213512,5
218,20.992855,1219,2024-02-20 19:34:33,52.185642,5
106,20.965093,1220,2024-02-20 19:34:32,52.2478135,6
251,21.0450697,1222,2024-02-20 19:34:37,52.1751469,61
106,20.9968467,1223,2024-02-20 19:34:37,52.1860637,7
263,21.062363,1224,2024-02-20 19:34:33,52.185898,2
221,21.044481,1400,2024-02-20 19:34:33,52.265113,02
722,21.160355,1411,2024-02-20 19:34:33,52.226032,01
319,21.176092,1412,2024-02-20 19:34:34,52.196262,09
146,21.204418,1414,2024-02-20 19:34:36,52.159527,4
119,21.064447,1415,2024-02-20 19:34:32,52.202721,2
147,21.0524549,1416,2024-02-20 19:34:37,52.250384,2
183,21.1409,1417,2024-02-20 19:34:35,52.2459,4
730,21.1171074,1418,2024-02-20 19:34:37,52.2330961,053
146,21.06992,1419,2024-02-20 19:34:37,52.221691,09
119,21.0002812,1421,2024-02-20 19:34:36,52.2061087,5
146,21.043633,1422,2024-02-20 19:34:32,52.24791,5
153,21.172623,1425,2024-02-20 19:34:36,52.285553,1
183,21.120802,1426,2024-02-20 19:34:34,52.236904,6
319,21.1166,1427,2024-02-20 19:34:37,52.234936,07
702,21.203541,1428,2024-02-20 19:34:36,52.121513,2
153,21.177025,1429,2024-02-20 19:34:32,52.256908,2
173,21.236217,1430,2024-02-20 19:34:33,52.249977,5
166,21.0344095,1501,2024-02-20 19:34:36,52.2026626,4
204,21.0313758,1502,2024-02-20 19:34:32,52.3008035,07
170,21.0218956,1505,2024-02-20 19:34:29,52.2624675,05
170,21.0478778,1506,2024-02-20 19:34:30,52.2640161,06
156,20.96414,1508,2024-02-20 19:34:31,52.2753463,4
166,21.066244,1509,2024-02-20 19:34:35,52.130741,2
166,21.0369625,1513,2024-02-20 19:34:20,52.2322348,09
170,21.0807941,1519,2024-02-20 19:34:30,52.276323,3
173,21.0917417,1520,2024-02-20 19:34:33,52.2448267,3
183,21.0872783,1521,2024-02-20 19:34:27,52.24467,2
319,21.11738,1522,2024-02-20 19:34:36,52.234338,09
311,21.088401,1523,2024-02-20 19:34:25,52.230876,502
117,21.0051883,1526,2024-02-20 19:34:33,52.2295533,3
183,21.171563,1527,2024-02-20 19:34:28,52.251409,5
117,21.09181,1528,2024-02-20 19:34:24,52.2221717,5
146,21.1573967,1529,2024-02-20 19:34:33,52.167015,2
218,20.9927117,1532,2024-02-20 19:34:26,52.18871,3
218,21.0245883,1533,2024-02-20 19:34:27,52.1793183,1
739,21.017813,1534,2024-02-20 19:34:24,52.151113,07
106,20.989443,1535,2024-02-20 19:34:17,52.234246,1
173,21.2175517,1536,2024-02-20 19:34:25,52.2144467,6
123,21.0632783,1537,2024-02-20 19:34:33,52.22835,5
181,20.981635,1538,2024-02-20 19:34:26,52.274516,2
122,20.9948317,1539,2024-02-20 19:34:31,52.2578533,011
122,20.976301,1542,2024-02-20 19:34:31,52.266374,8
123,21.0941483,1543,2024-02-20 19:34:28,52.244185,1
169,21.0383633,1544,2024-02-20 19:34:31,52.2649067,3
170,21.021766,1545,2024-02-20 19:34:31,52.262715,1
736,20.92306,1546,2024-02-20 19:34:26,52.39804,2
126,21.0202967,1548,2024-02-20 19:34:27,52.2890883,2
122,21.0464483,1550,2024-02-20 19:34:24,52.2643333,012
122,20.89654,1551,2024-02-20 19:34:23,52.2349817,1
122,20.980891,1552,2024-02-20 19:34:29,52.253333,014
166,21.046276,1553,2024-02-20 19:34:20,52.155799,343
156,20.967469,1554,2024-02-20 19:34:23,52.273359,3
181,20.9693583,1555,2024-02-20 19:34:34,52.284745,1
197,20.9389766,1800,2024-02-20 19:34:29,52.2462996,010
221,20.9805395,1801,2024-02-20 19:34:36,52.2626901,1
173,21.1210034,1802,2024-02-20 19:34:31,52.2367987,10
118,21.0196156,1803,2024-02-20 19:34:28,52.246091,1
170,21.067313,1807,2024-02-20 19:34:25,52.26541,4
178,20.9797401,1808,2024-02-20 19:34:37,52.2298025,012
173,21.24324,1809,2024-02-20 19:34:30,52.2214783,8
118,21.015592,1810,2024-02-20 19:34:33,52.218942,3
126,20.977935,1811,2024-02-20 19:34:35,52.312385,4
181,20.8999821,1815,2024-02-20 19:34:35,52.297151,4
181,20.9054461,1816,2024-02-20 19:34:35,52.3014433,3
122,20.9765415,1817,2024-02-20 19:34:32,52.288033,013
156,20.9281161,1818,2024-02-20 19:34:28,52.2907195,06
173,21.0527798,1819,2024-02-20 19:34:35,52.2503073,2
730,21.2931956,1830,2024-02-20 19:34:31,52.1727248,01
123,21.085379,1833,2024-02-20 19:34:32,52.2230088,2
730,21.2228164,1838,2024-02-20 19:34:37,52.2240057,52
118,21.047913,1839,2024-02-20 19:34:22,52.263901,1
115,21.1645578,1840,2024-02-20 19:34:27,52.2172968,1
173,21.150791,1842,2024-02-20 19:34:27,52.2388813,4
156,21.0521823,1844,2024-02-20 19:34:28,52.2529748,1
115,21.242131,1845,2024-02-20 19:34:35,52.169869,2
178,20.9532928,1846,2024-02-20 19:34:29,52.2124073,013
115,21.1565415,1848,2024-02-20 19:34:26,52.2570211,6
115,21.1632891,1849,2024-02-20 19:34:28,52.2604876,5
117,21.0536523,1851,2024-02-20 19:34:35,52.2351575,4
117,21.0837478,1855,2024-02-20 19:34:33,52.224589,1
115,21.1978756,1857,2024-02-20 19:34:30,52.1753395,3
173,21.1835378,1858,2024-02-20 19:34:29,52.2459651,9
173,21.217621,1859,2024-02-20 19:34:30,52.2145131,7
117,21.0234235,1862,2024-02-20 19:34:34,52.2322316,2
722,21.115891,1863,2024-02-20 19:34:33,52.2348745,61
722,21.3123988,1869,2024-02-20 19:34:32,52.153589,61
222,21.0213555,1904,2024-02-20 19:34:36,52.2138299,1
222,21.007566,1906,2024-02-20 19:34:28,52.189128,5
106,20.9662319,1907,2024-02-20 19:34:37,52.2432424,7
222,21.0049826,1910,2024-02-20 19:34:37,52.2447731,2
222,20.9958881,1911,2024-02-20 19:34:36,52.1934187,6
139,21.093458,1912,2024-02-20 19:34:36,52.147308,64
251,21.106686,1914,2024-02-20 19:34:34,52.116283,65
119,20.995163,1915,2024-02-20 19:34:28,52.186775,07
166,20.995288,1916,2024-02-20 19:34:34,52.18683,010
222,21.004875,1917,2024-02-20 19:34:28,52.244881,3
139,21.0957119,1918,2024-02-20 19:34:37,52.1433629,066
222,21.018732,1919,2024-02-20 19:34:32,52.223488,4
222,20.9952665,1920,2024-02-20 19:31:56,52.1859025,4
331,20.995287,1991,2024-02-20 19:34:31,52.186279,04
119,21.1617292,1992,2024-02-20 19:34:37,52.2093692,06
739,21.04185,1993,2024-02-20 19:34:29,52.097265,014
331,20.9951919,1996,2024-02-20 19:34:37,52.1861344,02
331,20.995228,1997,2024-02-20 19:34:36,52.186226,01
331,20.995365,1998,2024-02-20 19:34:36,52.186424,03
709,21.026001,2000,2024-02-20 19:34:36,52.076878,6
189,21.037287,2001,2024-02-20 19:34:37,52.173435,9
189,20.992098,2002,2024-02-20 19:34:35,52.180317,14
141,21.082359,2004,2024-02-20 19:34:37,52.240898,8
710,21.0360466,2005,2024-02-20 19:34:34,52.0765172,6
189,20.9008544,2007,2024-02-20 19:34:36,52.2388944,027
742,21.122261,2010,2024-02-20 19:34:34,52.090282,761
501,21.048813,2013,2024-02-20 19:34:29,52.177799,3
709,21.017596,2014,2024-02-20 19:34:32,52.143008,7
174,21.011904,2015,2024-02-20 19:34:37,52.173321,371
709,21.01767,2016,2024-02-20 19:34:35,52.091927,9
709,20.9961429,2017,2024-02-20 19:34:36,52.1867694,014
525,21.1610102,2018,2024-02-20 19:34:37,52.2258884,1
189,20.904585,2019,2024-02-20 19:34:37,52.228298,5
189,21.0302034,2020,2024-02-20 19:34:37,52.1735055,021
709,21.02552,2022,2024-02-20 19:34:35,52.077877,5
727,21.023834,2023,2024-02-20 19:34:32,52.180061,3
162,20.9958231,2024,2024-02-20 19:34:36,52.1876437,015
319,20.9972547,2025,2024-02-20 19:34:36,52.1876077,01
162,21.034893,2026,2024-02-20 19:34:36,52.255016,5
174,21.004478,2028,2024-02-20 19:34:35,52.171356,3
217,21.072872,2029,2024-02-20 19:34:35,52.159958,2
189,21.068705,2031,2024-02-20 19:34:36,52.181488,12
522,21.0668602,2032,2024-02-20 19:34:37,52.1711082,4
165,21.024044,2033,2024-02-20 19:34:33,52.179817,3
319,21.005554,2036,2024-02-20 19:34:34,52.171635,03
189,21.006081,2037,2024-02-20 19:34:37,52.178074,8
402,21.142708,2039,2024-02-20 19:34:30,52.23729,1
402,20.996464,2044,2024-02-20 19:34:37,52.186909,5
136,20.995153,2045,2024-02-20 19:34:30,52.187691,013
193,20.995855,2046,2024-02-20 19:34:37,52.187843,06
177,20.8894822,2200,2024-02-20 19:34:34,52.2053962,3
148,20.978752,2203,2024-02-20 19:34:35,52.183147,012
ZA1,20.921421,2205,2024-02-20 19:34:16,52.197299,02
191,20.983829,2206,2024-02-20 19:34:37,52.218197,5
105,20.900703,2208,2024-02-20 19:34:31,52.238987,2
184,20.955959,2210,2024-02-20 19:34:37,52.22765,8
523,20.956203,2212,2024-02-20 19:34:35,52.237537,714
105,20.896715,2214,2024-02-20 19:34:35,52.235493,011
401,20.947865,2216,2024-02-20 19:34:31,52.192245,7
188,20.979876,2217,2024-02-20 19:34:37,52.186108,5
187,20.9015799,2218,2024-02-20 19:34:37,52.1993012,1
177,20.8686434,2219,2024-02-20 19:34:37,52.1923272,4
719,20.7745084,2220,2024-02-20 19:34:35,52.2562159,2
184,20.964012,2221,2024-02-20 19:34:33,52.208061,7
523,21.008993,2222,2024-02-20 19:34:37,52.217228,8
523,20.9430347,2223,2024-02-20 19:34:37,52.2391315,023
716,20.920477,2225,2024-02-20 19:34:36,52.197243,01
171,20.9175582,2229,2024-02-20 19:34:37,52.2594414,453
517,21.0038019,2231,2024-02-20 19:34:36,52.2279899,10
187,20.961239,2232,2024-02-20 19:34:35,52.216698,6
716,20.870583,2234,2024-02-20 19:34:34,52.19828,62
517,20.919296,2235,2024-02-20 19:34:36,52.197567,2
401,21.031349,2236,2024-02-20 19:34:33,52.1735,3
717,20.954718,2238,2024-02-20 19:34:35,52.2134306,65
188,20.9781146,2239,2024-02-20 19:34:36,52.1694574,6
517,20.929932,2240,2024-02-20 19:34:37,52.196781,8
189,20.9554417,2242,2024-02-20 19:34:34,52.1908294,7
187,21.062986,2243,2024-02-20 19:34:35,52.187344,10
177,20.8672916,2244,2024-02-20 19:34:36,52.1971912,675
186,20.9224939,2246,2024-02-20 19:34:37,52.1956404,015
ZA1,20.922363,2247,2024-02-20 19:34:28,52.197121,03
719,20.9137869,2248,2024-02-20 19:34:32,52.2377912,4
523,21.060772,2249,2024-02-20 19:34:34,52.227989,7
191,20.8703971,2250,2024-02-20 19:34:36,52.1835766,2
401,20.9203027,2251,2024-02-20 19:34:36,52.197267,010
191,20.877596,2252,2024-02-20 19:34:31,52.188999,1
713,20.744366,2253,2024-02-20 19:34:37,52.214577,3
184,20.92117,2255,2024-02-20 19:34:25,52.196488,010
401,20.978081,2256,2024-02-20 19:34:36,52.183975,2
105,20.895748,2257,2024-02-20 19:34:36,52.193714,08
401,21.036277,2258,2024-02-20 19:34:37,52.1537497,5
182,20.9862519,2259,2024-02-20 19:34:35,52.2163332,1
L22,21.2924941,25181,2024-02-20 19:34:37,52.1740591,2
L20,21.2709361,25183,2024-02-20 19:34:33,52.095856,1
L22,21.1108101,25184,2024-02-20 19:34:37,52.2931826,2
L51,21.2619291,25188,2024-02-20 19:34:33,52.089725,1
245,21.0470726,3400,2024-02-20 19:34:34,52.2637598,05
112,21.0170956,3401,2024-02-20 19:34:33,52.2934223,8
127,20.905726,3402,2024-02-20 19:34:26,52.2073575,8
116,21.0527308,3404,2024-02-20 19:34:32,52.1845303,9
723,20.9959243,3405,2024-02-20 19:34:36,52.2968825,475
527,21.0473468,3406,2024-02-20 19:34:35,52.2646488,011
511,20.9511119,3408,2024-02-20 19:34:33,52.3439261,3
705,21.0461906,3409,2024-02-20 19:34:35,52.2639605,1
245,21.0416953,3410,2024-02-20 19:34:31,52.3003781,2
500,21.0420208,3411,2024-02-20 19:34:36,52.3003288,4
160,21.0025125,3412,2024-02-20 19:34:34,52.233257,519
511,20.931746,3413,2024-02-20 19:34:35,52.2940555,2
527,21.0477078,3414,2024-02-20 19:33:23,52.2645063,013
509,20.9630463,3415,2024-02-20 19:34:32,52.3175728,021
735,21.011698,3416,2024-02-20 19:34:31,52.453768,63
509,21.102174,3417,2024-02-20 19:34:31,52.2219581,12
511,20.9427536,3418,2024-02-20 19:34:36,52.3487886,4
132,21.062732,3419,2024-02-20 19:34:33,52.3251291,5
527,21.0462233,3420,2024-02-20 19:34:35,52.2639433,010
199,21.1797235,3421,2024-02-20 19:34:32,52.269149,05
190,20.9262083,3423,2024-02-20 19:34:34,52.2340216,3
Z26,20.9598115,3424,2024-02-20 19:34:32,52.2320683,1
509,21.034953,3425,2024-02-20 19:34:23,52.254288,14
120,21.0508721,3426,2024-02-20 19:34:36,52.2525818,6
140,21.052767,3427,2024-02-20 19:34:36,52.2765863,2
509,21.0607675,3428,2024-02-20 19:34:31,52.2324565,13
102,21.0578693,3429,2024-02-20 19:34:34,52.250089,547
120,21.0461991,3430,2024-02-20 19:34:32,52.2725885,4
731,20.9550121,3431,2024-02-20 19:34:29,52.4085783,476
140,21.0466251,3432,2024-02-20 19:34:35,52.2646855,04
723,20.925392,3434,2024-02-20 19:34:30,52.384716,480
738,21.195976,3435,2024-02-20 19:34:32,52.403568,4
509,20.972166,3436,2024-02-20 19:34:32,52.3206853,1
Z26,20.9301017,3437,2024-02-20 19:34:30,52.2249268,3
112,21.0825511,3438,2024-02-20 19:34:32,52.304481,2
190,20.9148362,3442,2024-02-20 19:34:31,52.2311142,2
731,20.9840818,3444,2024-02-20 19:34:30,52.3072036,477
145,21.0540283,3447,2024-02-20 19:34:31,52.29234,4
414,20.9479628,3448,2024-02-20 19:34:34,52.200526,06
140,21.0912078,3449,2024-02-20 19:34:33,52.3063765,07
190,21.0018597,3451,2024-02-20 19:34:31,52.2443879,1
520,21.0462818,3452,2024-02-20 19:34:35,52.2638063,5
120,21.0499978,3453,2024-02-20 19:34:34,52.3470073,2
731,20.9482968,3454,2024-02-20 19:34:37,52.4033095,478
723,21.0465298,3456,2024-02-20 19:34:33,52.263753,731
145,21.0005603,3457,2024-02-20 19:34:35,52.291323,6
120,21.0525403,3458,2024-02-20 19:34:37,52.2965313,010
112,21.0823115,3459,2024-02-20 19:34:34,52.3044583,7
132,21.0462951,3460,2024-02-20 19:34:37,52.2641173,06
160,21.0469785,3462,2024-02-20 19:34:31,52.264497,513
509,20.943442,3463,2024-02-20 19:34:33,52.3229695,5
738,21.0529601,3464,2024-02-20 19:34:33,52.2764586,2
723,20.9895565,3466,2024-02-20 19:34:32,52.3033298,474
509,20.9450355,3467,2024-02-20 19:34:33,52.3393903,4
731,20.9481063,3468,2024-02-20 19:34:34,52.3480605,499
735,21.0285685,3469,2024-02-20 19:34:34,52.345865,62
L-5,21.0294456,35131,2024-02-20 19:34:37,52.074588,1
L-5,20.8976778,35132,2024-02-20 19:34:36,52.0564951,2
L25,21.1996065,35135,2024-02-20 19:34:34,51.9836436,02
L25,21.1700525,35136,2024-02-20 19:34:04,51.973546,1
L-2,21.0353128,35139,2024-02-20 19:34:31,52.0833373,684
L12,20.8962603,35140,2024-02-20 19:32:51,52.0076543,782
L-2,21.0199228,35141,2024-02-20 19:33:05,52.0656108,684
L13,21.2170563,35159,2024-02-20 19:34:36,51.981103,04
729,20.909239,4200,2024-02-20 19:34:34,52.239029,1
122,20.976328,4201,2024-02-20 19:34:37,52.289776,7
255,20.984772,4202,2024-02-20 19:34:35,52.230431,1
207,20.870634,4204,2024-02-20 19:34:37,52.183311,06
249,20.900023,4206,2024-02-20 19:34:36,52.239513,678
197,20.930309,4207,2024-02-20 19:34:33,52.224945,5
207,20.884031,4209,2024-02-20 19:34:36,52.195507,2
255,20.944345,4210,2024-02-20 19:34:36,52.22451,2
129,20.919506,4211,2024-02-20 19:34:37,52.231262,3
207,20.899714,4212,2024-02-20 19:34:36,52.190231,4
154,20.924559,4213,2024-02-20 19:34:37,52.196812,06
122,20.920578,4214,2024-02-20 19:34:36,52.196861,015
154,20.963968,4215,2024-02-20 19:34:35,52.217144,4
249,20.9479464,4217,2024-02-20 19:34:36,52.2437674,2
178,20.948473,4218,2024-02-20 19:34:34,52.209709,7
178,21.0077324,4220,2024-02-20 19:34:36,52.2351332,1
207,20.920689,4221,2024-02-20 19:34:36,52.196781,05
714,20.883327,4223,2024-02-20 19:34:36,52.243916,3
129,20.9393184,4225,2024-02-20 19:34:36,52.2460846,4
